BirdID,FinalSB,SB_ROC,BodyMass,Stage,EP,Tissue,SiteEuth,DNAm,TLR4_RQ_proximal_intestine,TLR4_RQ_medial_intestine,TLR4_RQ_distal_intestine,TLR4_RQ_cecum
3138,2.47835,NA,21.2,Female,high,liver,CG01,1,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,liver,CG02,1,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,liver,CG03,1,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,liver,CG04,0,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,liver,CG05,0,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,blood,CG01,1,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,blood,CG02,1,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,blood,CG03,1,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,blood,CG04,0,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,blood,CG05,0,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,spleen,CG01,0,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,spleen,CG02,1,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,spleen,CG03,1,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,spleen,CG04,0,3.010493495,3.850377772,4.9588308,3.041957506
3138,2.47835,NA,21.2,Female,high,spleen,CG05,0,3.010493495,3.850377772,4.9588308,3.041957506
3139,2.3243195,0.030425778,27.1,Male,high,liver,CG01,1,1.064370182,2.070529848,1.333298677,2.620786808
3139,2.3243195,0.030425778,27.1,Male,high,liver,CG02,1,1.064370182,2.070529848,1.333298677,2.620786808
3139,2.3243195,0.030425778,27.1,Male,high,liver,CG03,1,1.064370182,2.070529848,1.333298677,2.620786808
3139,2.3243195,0.030425778,27.1,Male,high,liver,CG04,0,1.064370182,2.070529848,1.333298677,2.620786808
3139,2.3243195,0.030425778,27.1,Male,high,liver,CG05,0,1.064370182,2.070529848,1.333298677,2.620786808
3139,2.3243195,0.030425778,27.1,Male,high,blood,CG01,1,1.064370182,2.070529848,1.333298677,2.620786808
3139,2.3243195,0.030425778,27.1,Male,high,blood,CG02,1,1.064370182,2.070529848,1.333298677,2.620786808
3139,2.3243195,0.030425778,27.1,Male,high,blood,CG03,0,1.064370182,2.070529848,1.333298677,2.620786808
3139,2.3243195,0.030425778,27.1,Male,high,blood,CG04,0,1.064370182,2.070529848,1.333298677,2.620786808
